"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"male","group C","master's degree","free/reduced","none","55","64","66"
"male","group D","some college","free/reduced","completed","83","78","83"
"female","group C","high school","standard","completed","55","73","73"
"male","group E","high school","free/reduced","none","59","57","53"
"female","group D","high school","free/reduced","completed","66","78","73"
"female","group A","high school","standard","none","52","64","60"
"male","group C","high school","free/reduced","completed","54","59","52"
"female","group E","some high school","standard","none","57","66","55"
"female","group B","some high school","free/reduced","completed","41","57","61"
"female","group C","some college","standard","none","66","71","71"
"male","group C","master's degree","free/reduced","completed","67","65","67"
"female","group D","associate's degree","standard","none","71","73","72"
"male","group D","some college","standard","completed","83","89","86"
"male","group B","some college","free/reduced","completed","42","41","43"
"male","group C","high school","standard","none","67","60","54"
"female","group A","some college","free/reduced","none","54","57","57"
"male","group C","some high school","free/reduced","none","47","56","52"
"female","group C","bachelor's degree","free/reduced","completed","71","72","80"
"female","group E","some high school","standard","completed","52","55","57"
"female","group D","some college","standard","none","76","80","81"
"male","group E","associate's degree","standard","completed","100","100","100"
"male","group C","bachelor's degree","standard","completed","58","58","60"
"male","group C","high school","standard","completed","83","72","75"
"female","group D","associate's degree","free/reduced","none","83","81","89"
"female","group C","associate's degree","standard","none","77","86","81"
"male","group E","high school","standard","completed","79","77","71"
"male","group D","high school","standard","completed","55","52","55"
"female","group E","high school","standard","completed","65","72","76"
"male","group B","some college","free/reduced","completed","29","40","36"
"female","group D","associate's degree","standard","completed","80","88","94"
"male","group B","bachelor's degree","free/reduced","none","45","45","40"
"female","group C","associate's degree","free/reduced","none","45","64","64"
"male","group A","bachelor's degree","standard","completed","73","76","73"
"female","group C","associate's degree","standard","completed","63","79","80"
"female","group B","bachelor's degree","standard","none","63","68","71"
"male","group B","master's degree","free/reduced","completed","58","58","60"
"male","group A","some high school","standard","none","57","47","46"
"male","group B","some college","standard","completed","63","59","60"
"female","group C","associate's degree","standard","completed","69","85","83"
"female","group C","some college","standard","none","53","59","63"
"male","group D","bachelor's degree","standard","none","73","73","76"
"male","group D","some college","standard","completed","80","75","71"
"female","group D","associate's degree","free/reduced","none","64","82","83"
"male","group E","bachelor's degree","standard","none","100","94","99"
"female","group D","bachelor's degree","standard","none","72","77","85"
"female","group E","high school","standard","none","83","93","85"
"female","group C","high school","standard","none","84","85","82"
"male","group A","some college","standard","completed","72","60","65"
"female","group E","bachelor's degree","standard","none","83","97","97"
"female","group D","master's degree","standard","completed","65","80","87"
"male","group A","some high school","free/reduced","completed","68","69","64"
"male","group D","some high school","free/reduced","none","73","64","62"
"male","group B","high school","standard","completed","94","83","84"
"female","group B","bachelor's degree","standard","none","88","94","92"
"male","group B","some high school","free/reduced","none","49","49","42"
"male","group B","associate's degree","standard","none","65","74","62"
"male","group C","high school","standard","none","82","74","77"
"female","group C","some college","free/reduced","none","30","51","46"
"female","group C","associate's degree","free/reduced","none","56","59","61"
"female","group D","some college","standard","none","70","80","85"
"female","group A","some college","free/reduced","completed","37","51","55"
"male","group D","some high school","standard","none","87","83","79"
"male","group D","some high school","free/reduced","none","26","32","31"
"female","group C","some college","standard","none","64","72","71"
"female","group C","some college","standard","none","80","96","85"
"male","group D","some college","standard","none","97","96","89"
"male","group E","some college","standard","completed","87","78","79"
"female","group C","associate's degree","standard","none","72","89","80"
"female","group D","some college","standard","none","84","94","89"
"male","group A","some college","standard","none","80","65","63"
"male","group C","master's degree","free/reduced","completed","56","55","55"
"male","group B","bachelor's degree","free/reduced","none","50","56","52"
"male","group B","some college","free/reduced","completed","72","70","70"
"female","group B","master's degree","standard","completed","51","68","73"
"male","group E","associate's degree","standard","none","80","76","74"
"female","group E","high school","free/reduced","none","52","69","58"
"male","group B","high school","standard","none","56","58","43"
"female","group D","some college","free/reduced","completed","47","60","63"
"male","group D","high school","standard","none","57","53","48"
"female","group D","master's degree","standard","none","70","70","78"
"female","group C","some college","free/reduced","none","39","41","46"
"male","group C","some college","standard","completed","72","66","68"
"male","group C","high school","standard","completed","65","65","61"
"female","group C","high school","standard","none","53","63","65"
"male","group E","some college","standard","completed","70","67","57"
"male","group A","bachelor's degree","standard","none","57","54","54"
"male","group C","associate's degree","free/reduced","none","64","67","61"
"male","group C","master's degree","standard","none","73","68","70"
"male","group D","some college","free/reduced","none","67","68","64"
"male","group D","some college","standard","none","90","96","88"
"female","group C","some high school","standard","none","76","94","92"
"female","group B","associate's degree","free/reduced","completed","48","71","74"
"female","group D","high school","free/reduced","none","75","87","85"
"male","group C","some college","standard","none","56","58","50"
"female","group D","bachelor's degree","free/reduced","completed","58","74","83"
"female","group C","some high school","standard","completed","65","82","78"
"female","group C","associate's degree","standard","completed","72","86","86"
"male","group C","some college","standard","none","82","81","82"
"female","group C","high school","standard","none","32","43","40"
"female","group C","some high school","standard","none","50","57","63"
