"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group B","associate's degree","standard","none","64","78","75"
"female","group B","high school","free/reduced","completed","50","69","69"
"female","group B","some high school","standard","none","70","74","74"
"female","group E","bachelor's degree","standard","none","87","90","88"
"female","group C","master's degree","standard","completed","80","85","94"
"male","group C","some college","standard","none","52","48","48"
"male","group D","some high school","standard","completed","83","82","76"
"female","group D","some college","standard","none","65","83","77"
"male","group E","some high school","free/reduced","completed","63","62","55"
"male","group C","some college","free/reduced","none","78","74","69"
